[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:00:24,148	511,6	
00:00:24,185	511,6	
00:00:24,222	511,6	
00:00:24,259	511,6	
00:00:24,296	511,5	
00:00:24,333	511,5	
00:00:24,370	511,5	
00:00:24,407	511,5	
00:00:24,444	511,5	
00:00:24,481	511,4	
00:00:24,518	511,4	
00:00:24,555	511,4	
00:00:24,592	511,4	
00:00:24,629	511,4	
00:00:24,666	511,4	
00:00:24,703	511,3	
00:00:24,740	511,3	
00:00:24,777	511,3	
00:00:24,814	511,3	
00:00:24,851	511,3	
00:00:24,888	511,2	
00:00:24,925	511,2	
00:00:24,962	511,2	
00:00:24,999	511,2	
00:00:25,037	511,2	
00:00:25,074	511,2	
00:00:25,111	511,1	
00:00:25,148	511,1	
00:00:25,185	511,1	
00:00:25,222	511,1	
00:00:25,259	511,1	
00:00:25,296	511,0	
00:00:25,333	511,0	
00:00:25,370	511,0	
00:00:25,407	511,0	
00:00:25,444	511,0	
00:00:25,481	510,9	
00:00:25,518	510,9	
00:00:25,555	510,9	
00:00:25,592	510,9	
00:00:25,629	510,9	
00:00:25,666	510,9	
00:00:25,703	510,8	
00:00:25,740	510,8	
00:00:25,777	510,8	
00:00:25,814	510,8	
00:00:25,851	510,8	
00:00:25,888	510,7	
00:00:25,925	510,7	
00:00:25,962	510,7	
00:00:25,999	510,7	
00:00:26,037	510,7	
00:00:26,074	510,7	
00:00:26,111	510,6	
00:00:26,148	510,6	
00:00:26,185	510,6	
00:00:26,222	510,6	
00:00:26,259	510,6	
00:00:26,296	510,5	
00:00:26,333	510,5	
00:00:26,370	510,5	
00:00:26,407	510,5	
00:00:26,444	510,5	
00:00:26,481	510,5	
00:00:26,518	510,4	
00:00:26,555	510,4	
00:00:26,592	510,4	
00:00:26,629	510,4	
00:00:26,666	510,4	
00:00:26,703	510,3	
00:00:26,740	510,3	
00:00:26,777	510,3	
00:00:26,814	510,3	
00:00:26,851	510,3	
00:00:26,888	510,3	
00:00:26,925	510,2	
00:00:26,962	510,2	
00:00:26,999	510,2	
00:00:27,037	510,2	
00:00:27,074	510,2	
00:00:27,111	510,1	
00:00:27,148	510,1	
00:00:27,185	510,1	
00:00:27,222	510,1	
00:00:27,259	510,1	
00:00:27,296	510,1	
00:00:27,333	510,0	
00:00:27,370	510,0	
00:00:27,407	510,0	
00:00:27,444	510,0	
00:00:27,481	510,0	
00:00:27,518	509,9	
00:00:27,555	509,9	
00:00:27,592	509,9	
00:00:27,629	509,9	
00:00:27,666	509,9	
00:00:27,703	509,8	
00:00:27,740	509,8	
00:00:27,777	509,8	
00:00:27,814	509,8	
00:00:27,851	509,8	
00:00:27,888	509,8	
00:00:27,925	509,7	
00:00:27,962	509,7	
00:00:27,999	509,7	
00:00:28,037	509,7	
00:00:28,074	509,7	
00:00:28,111	509,6	
00:00:28,148	509,6	
00:00:28,185	509,6	
00:00:28,222	509,6	
00:00:28,259	509,6	
00:00:28,296	509,6	
00:00:28,333	509,5	
00:00:28,370	509,5	
00:00:28,407	509,5	
00:00:28,444	509,5	
00:00:28,481	509,5	
00:00:28,518	509,5	
00:00:28,555	509,5	
00:00:28,592	509,5	
00:00:28,629	509,5	
00:00:28,666	509,5	
00:00:28,703	509,5	
00:00:28,740	509,5	
00:00:28,777	509,5	
00:00:28,814	509,5	
00:00:28,851	509,5	
00:00:28,888	509,5	
00:00:28,925	509,5	
00:00:28,962	509,5	
00:00:28,999	509,5	
00:00:29,037	509,5	
00:00:29,074	509,5	
00:00:29,111	509,5	
00:00:29,148	509,5	
00:00:29,185	509,5	
00:00:29,222	509,5	
00:00:29,259	509,5	
00:00:29,296	509,5	
00:00:29,333	509,5	
00:00:29,370	509,5	
00:00:29,407	509,5	
00:00:29,444	509,5	
00:00:29,481	509,5	
